id,name,age,gender,location,preferences,behavior
68ce8fd7d89d33e016701b92,John Doe,21,male,"","{}",
68cfc8c21976573cc9b6398e,Bui Vu Tuan Anh,22,male,"","{}",
68d89cef66ce401250cd7b0c,Nguyen Van A,23,MALE,"","{}",
68ea026c04589194166b9e48,Customer 1,24,Female,"","{}",
68ea026c04589194166b9e4d,Customer 2,25,Male,"","{}",
68ea026d04589194166b9e52,Customer 3,26,Female,"","{}",
68ea026d04589194166b9e57,Customer 4,27,Male,"","{}",
68ea026d04589194166b9e5c,Customer 5,28,Female,"","{}",
68ea026e04589194166b9e61,Customer 6,29,Male,"","{}",
68ea026e04589194166b9e66,Customer 7,30,Female,"","{}",
68ea026e04589194166b9e6b,Customer 8,21,Male,"","{}",
68ea026e04589194166b9e70,Customer 9,22,Female,"","{}",
68ea026f04589194166b9e75,Customer 10,23,Male,"","{}",
